MOFRefcodes,LCD,PLD,LFPD,Volume,ASA_m2_g,ASA_m2_cm3,NASA_m2_g,NASA_m2_cm3,AV_VF,AV_cm3_g,NAV_cm3_g, H,C,N,F,Cl,Br,V,Cu,Zn,Zr,metal type, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,O2uptakemolkg,N2uptakemolkg,SelfdiffusionofO2cm2s,SelfdiffusionofN2cm2s,O2N2ratio,HenrysconstantO2,HenrysconstantN2,SelfdiffusionofO2cm2sinfDilute,SelfdiffusionofN2cm2sinfDilute
ABAYIO_clean,11.39486,4.3226,11.27409,0.949126,1505.31,1428.73,431.444,409.494,0.6636,0.69917,0,96,288,0,0,48,0,0,0,0,0,1,217,16.66666667,4,1.208571429,1.208571429,0,0.384992226,0.321477016,1.83527E-05,2.62792E-05,1.197573096,4.40201E-06,3.59701E-06,1.42163E-05,1.65802E-05
ABAYOU_clean,11.27344,4.5108,11.27344,0.979267,1494.4,1463.42,427.935,419.062,0.6638,0.677854,0,96,288,0,0,48,0,0,0,0,0,1,217,16.66666667,4,1.208571429,1.208571429,0,0.391558754,0.321844569,2.25049E-05,3.62444E-05,1.216608237,4.40401E-06,3.64584E-06,1.59277E-05,1.38458E-05
ABETIN_clean,9.47418,7.83744,9.45292,0.597233,3810.89,2275.99,0,0,0.7302,1.22264,0,288,416,64,0,0,0,0,16,0,0,4,257,3.846153846,0,0.248163265,0.248163265,0,0.433499339,0.394236395,0.000375888,0.000369711,1.099592386,4.37121E-06,4.00936E-06,0.000398662,0.000415375
ABEXEM_clean,4.82084,4.14331,4.80387,1.76082,550.193,968.791,2.01454,3.54724,0.494,0.280551,0,16,56,16,0,0,0,0,0,0,0,1,45,14.28571429,6,1.484444444,1.484444444,0.333333333,0.167703106,0.181875486,6.79019E-05,6.47021E-05,0.922076473,1.76331E-06,1.95943E-06,7.32811E-05,9.36471E-05
ABEXEN_clean,18.8079,13.71867,18.7996,0.674371,2447.09,1650.25,16.2561,10.9626,0.753,1.1166,0,120,240,0,0,0,0,0,0,0,0,1,181,5,8,0.688,0.688,0,0.403152658,0.355786054,0.000203371,0.000275287,1.133132265,4.1937E-06,3.72353E-06,0.000228598,0.000199631
ABEXIQ_clean,4.80529,4.06893,4.80529,1.7876,534.065,954.695,6.2369,11.1491,0.4776,0.267174,0,16,56,16,0,0,0,0,0,0,0,1,45,14.28571429,6,1.484444444,1.484444444,0.333333333,0.168181438,0.196980481,5.83879E-05,5.21889E-05,0.853797479,1.76804E-06,2.12338E-06,5.905E-05,6.99148E-05
ABEXOW_clean,4.7727,4.04921,4.7549,1.81243,523.222,948.305,4.81477,8.72645,0.5026,0.277307,0,16,56,16,0,0,0,0,0,0,0,1,45,14.28571429,6,1.484444444,1.484444444,0.333333333,0.17360927,0.263989515,5.73581E-05,5.7167E-05,0.657636991,1.83099E-06,3.30943E-06,8.97209E-05,6.24386E-05
ABEYAJ_clean,4.73097,3.9715,4.71386,1.90641,479.276,913.695,2.98047,5.68199,0.4682,0.245593,0,16,56,16,0,0,0,0,0,0,0,1,45,14.28571429,6,1.484444444,1.484444444,0.333333333,0.157915231,0.146501032,6.56453E-05,0.00010463,1.07791207,1.6669E-06,1.56536E-06,7.41275E-05,7.28097E-05
ABEYEN_clean,4.70447,3.94356,4.68752,1.9293,463.392,894.021,2.40013,4.63057,0.4642,0.240606,0,16,56,16,0,0,0,0,0,0,0,1,45,14.28571429,6,1.484444444,1.484444444,0.333333333,0.163403064,0.191434768,5.92376E-05,5.30409E-05,0.853570466,1.73317E-06,2.0966E-06,7.36828E-05,5.90659E-05
ABEYIR_clean,4.69665,3.92183,4.69665,1.96962,446.707,879.845,1.99007,3.91969,0.464,0.235578,0,16,56,16,0,0,0,0,0,0,0,1,45,14.28571429,6,1.484444444,1.484444444,0.333333333,0.153196392,0.128797932,6.27892E-05,9.21962E-05,1.189432078,1.6129E-06,1.36985E-06,7.97345E-05,8.50677E-05
ABIXOZ_clean,6.22728,4.0515,6.20206,1.91751,977.272,1873.93,0,0,0.5866,0.305918,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.466666667,2.385066667,2.385066667,0,0.054937663,0.076050441,0.000219909,0.000227308,0.722384537,5.47411E-07,7.49939E-07,0.000282397,0.000251727
